id_ministere,ministere_libelle,montant_initial,montant_depense,montant_disponible,taux_execution,scraped_at,source_url
1,PRÉSIDENCE DE LA RÉPUBLIQUE,291091575.0,289312533.07,1779041.93,99.39,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
2,MINISTÈRE SECRÉTARIAT GÉNÉRAL DE LA PRÉSIDENCE DE LA RÉPUBLIQUE,120295176.0,117430786.27,2864389.73,97.62,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
3,PREMIER MINISTÈRE,526084354.0,511222008.69,14862345.31,97.17,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
5,ASSEMBLEE NATIONALE,523304244.0,523304244.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
7,CONSEIL CONSTITUTIONNEL,30766757.0,30766757.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
8,COUR DES COMPTES,116905421.0,115601630.0,1303791.0,98.88,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
9,MINISTÈRE CHARGÉ DU SECRÉTARIAT GÉNÉRAL DU GOUVERNEMENT,783317574.0,743507979.39,39809594.61,94.92,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
11,"MINISTÈRE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAURITANIENS DE L'EXTÉRIEUR",1816614635.0,1876428421.87,-59813786.87,103.29,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
12,"MINISTÈRE DE L'AUTONOMISATION DES JEUNES, DE L'EMPLOI, DES SPORTS ET SERVICE CIVIQUE",1721384836.0,1671083766.95,50301069.05,97.08,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
13,HAUT CONSEIL DE LA FATWA ET DES RECOURS GRACIEUX,27730863.0,27723216.0,7647.0,99.97,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
14,MINISTÈRE DE LA JUSTICE,927733223.0,951783070.48,-24049847.48,102.59,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
15,"MINISTÈRE DE LA FORMATION PROFESSIONNELLE, DE L'ARTISANAT ET DES METIERS",952371588.0,837244831.4,115126756.6,87.91,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
18,MINISTERE DU COMMERCE ET DU TOURISME,482831338.0,468437378.48,14393959.52,97.02,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
19,"MINISTÈRE DE LA PÊCHE, DES INFRASTRUCTURES MARITIMES ET PORTUAIRES",1614385354.0,1267110357.82,347274996.18,78.49,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
20,"MINISTÈRE DES DOMAINES, DU PATRIMOINE DE L'ETAT ET DE LA REFORME FONCIERE",273258409.0,241006887.09,32251521.91,88.2,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
21,MINISTÈRE DE L'ÉQUIPEMENT ET DES TRANSPORTS,7667006611.4,6863330965.2,803675646.2,89.52,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
22,MINISTÈRE DE L'AGRICULTURE ET DE LA SOUVERAINETÉ ALIMENTAIRE,3445186689.0,3124780379.1,320406309.9,90.7,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
23,COMMISSION ÉLECTORALE NATIONALE INDÉPENDANTE,42507080.0,42507080.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
24,RÉGIONS,422000000.0,422000000.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
25,MINISTERE DE L'EDUCATION ET DE LA REFORME DU SYSTÈME D'ENSEIGNEMENT,10394983969.0,9494683533.88,900300435.12,91.34,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
26,MINISTERE DE L'ÉLEVAGE,1359801077.0,718122683.75,641678393.25,52.81,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
27,MINISTÈRE DES MINES ET DE 'INDUSTRIE,463367402.0,456183638.86,7183763.14,98.45,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
30,"MINISTÈRE DELEGUE AUPRES DU MINISTRE DE L'INTERIEUR, DE LA PROMOTION DE LA DECENTRALISATION ET DU DEVELOPPEMENT LOCAL, CHARGE DE LA DECENTRALISATION ET DU DEVELOPPEMENT LOCAL",35429051.0,16980698.4,18448352.6,47.93,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
32,COUR SUPRÊME,96254132.0,104580927.0,-8326795.0,108.65,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
33,HAUTE COUR DE JUSTICE,23062125.0,23062125.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
34,COMMISSARIAT A LA SECURITE ALIMENTAIRE,1120076294.0,720358844.6,399717449.4,64.31,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
35,MINISTERE DE LA TRANSFORMATION NUMERIQUE ET DE LA MODERNISATION DE L'ADMINISTRATION,430637259.0,288935391.5,141701867.5,67.09,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
36,CONSEIL DU PRIX CHINGUITTI,18600000.0,18600000.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
37,"MINISTÈRE DE LA CULTURE, DES ARTS, DE LA COMMUNICATION ET DES RELATIONS AVEC LE PARLEMENT",1715238047.0,1640861802.53,74376244.47,95.66,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
39,MINISTÈRE DES AFFAIRES ISLAMIQUES ET  DE L'ENSEIGNEMENT ORIGINEL,1105379114.0,1104157212.17,1221901.83,99.89,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
42,MINISTÈRE DE L'ENSEIGNEMENT SUPÉRIEUR ET DE LA RECHERCHE SCIENTIFIQUE,2063258503.0,2153367500.6,-90108997.6,104.37,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
47,HAUTE AUTORITÉ POUR LA PRESSE ET L'AUDIOVISUEL,33754087.0,33754087.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
53,MINISTÈRE DE LA SANTÉ,7256505951.0,6556826330.69,699679620.31,90.36,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
64,MINISTÈRE DE LA FONCTION PUBLIQUE ET DU TRAVAIL,214915073.0,222724390.6,-7809317.6,103.63,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
67,"MINISTÈRE DELEGUE AUPRES DU MINISTRE DE L'ECONOMIE ET DES FINANCES, CHARGE DU BUDGET",1718833218.5,1665867200.08,52966018.42,96.92,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
72,"CONSEIL ECONOMIQUE, SOCIAL ET ENVIRONNEMENTAL",42730619.0,42730616.0,3.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
73,"MINISTÈRE DE L'INTERIEUR, DE LA PROMOTION DE LA DECENTRALISATION ET DU DEVELOPPEMENT LOCAL",3382939637.0,3017941000.58,364998636.42,89.21,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
75,"MINISTÈRE DE L'HABITAT ,DE L'URBANISME ET DE L'AMENAGEMENT DU TERRITOIRE",5575524269.0,5226353759.48,349170509.52,93.74,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
76,MINISTÈRE DE L' HYDRAULIQUE ET DE L'ASSAINISSEMENT,4841210266.0,4497097943.01,344112322.99,92.89,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
77,"MINISTÈRE DE L'ACTION SOCIALE, DE L'ENFANCE ET DE LA FAMILLE",1018340729.0,1026557847.54,-8217118.54,100.81,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
78,MINISTÈRE DE L'ENVIRONNEMENT ET DEVELOPPEMENT DURBLE,762099202.0,747685272.82,14413929.18,98.11,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
80,"COMMISSARIAT AUX DROITS DE L'HOMME, A L'ACTION HUMANITAIRE ET AUX RELATIONS AVEC LA SOCIETE CIVILE",237597642.0,252701520.83,-15103878.83,106.36,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
81,MINISTÈRE DE L'ECONOMIE ET DES FINANCES,1413667271.0,1228406144.99,185261126.01,86.89,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
82,MINISTÈRE DU PÉTROLE ET DE L'ÉNERGIE,6555520800.0,5158891613.36,1396629186.64,78.7,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
85,CONSEIL NATIONAL DE LA JEUNESSE,11471577.0,11358373.07,113203.93,99.01,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
89,DELEGATION GENERALE A LA SOLIDARITE NATIONALE ET A LA LUTTE CONTRE L'EXCLUSION (TAAZOUR),6919821132.0,6617677216.95,302143915.05,95.63,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
90,AUTORITÉ DE MARCHÉS FINANCIERS,8000000.0,8000000.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
91,AUTORITÉ NATIONALE DE LUTTE CONTRE LA CORRUPTION,4000000.0,4000000.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
93,FONDS DE CONCOURS POUR LA LUTTE CONTRE CORONAVIRUS,482861586.0,0.0,482861586.0,0.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
95,AUTORITÉ DE RÉGULATION DES MARCHÉS PUBLICS,43989209.0,43943911.0,45298.0,99.9,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
96,CAISSE DE RETRAITE,1010000000.0,1010000000.0,0.0,100.0,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
98,CHARGES DE LA DETTE PUBLIQUE,3980820000.0,3605984578.7,374835421.3,90.58,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
99,DÉPENSES COMMUNES,6456565278.6,6155068934.57,301496344.03,95.33,2026-01-19 10:40:32,https://services.tresor.mr/secure/public/budget/level1/
